City, Country,AQI_PM2_5,PM2_5,PM10,wind_speed,Soiling_Rate,lat,lng
Launceston, AU,14.064690026954178,3.3,5.592017738359202,12.87361419068736,0.0,-41.43999863,147.13999939
Leeds, GB,39.84097035040431,9.3,0.0,0.0,0.017,53.79969025,-1.54910302
Leicester, GB,35.36657681940701,8.4,0.0,0.0,0.014,52.63486099,-1.12906003
Lhasa, CN,27.555256064690028,6.4,0.0,0.0,0.008,29.65226936,91.17192078
Lille, FR,42.74857142857143,10.0,0.0,0.0,0.019,50.63128662,3.06275296
Lima, PE,83.43126684636118,27.3,0.0,0.0,0.073,-12.20010853,-76.28505707
Limassol, CY,53.24528301886792,13.0,0.0,0.0,0.028,34.68529129,33.03326416
Linz, AT,43.678378378378376,10.3,0.0,0.0,0.02,48.30608749,14.28643703
Lisbon, PT,29.90782122905028,6.9,17.461346633416458,29.6375,0.009,39.00139236,-9.16674137
Little Rock, US,34.67857142857143,8.1,0.0,34.20181405895691,0.013,34.74874496,-92.27510834
Liverpool, GB,33.22911051212938,7.9,0.0,0.0,0.013,53.41077805,-2.97783804
Livorno, IT,40.79076086956522,9.6,0.0,0.0,0.018,43.55194092,10.30832958
Liège, BE,30.10576923076923,7.2,14.468842729970326,30.1513353115727,0.01,50.64390945,5.571558
London, CA,27.83827493261456,6.4,0.0,0.0,0.008,36.48064804,-119.44284058
London, GB,37.65768194070081,8.8,0.0,0.0,0.015,51.50015259,-0.12623601
Los Angeles, US,48.83827493261455,11.5,24.162946428571427,47.528888888888886,0.024,34.05223846,-118.24334717
Los Ángeles, CL,34.83739837398374,8.1,30.25277161862528,35.16035634743875,0.013,-31.76133728,-71.31877136
Lucknow, IN,136.45604395604394,49.7,91.47522522522524,139.62387387387386,0.142,26.85000038,80.94999695
Lviv, UA,40.369369369369366,9.6,19.306306306306308,40.369369369369366,0.018,49.83968353,24.02971649
Lyon, FR,40.47138964577657,9.6,0.0,0.0,0.018,45.76730728,4.83430719
Maastricht, NL,38.692934782608695,9.1,0.0,0.0,0.016,50.84984589,5.6872592
Macau, MO,51.73854447439353,12.1,0.0,0.0,0.026,22.18684006,113.54293823
Madison, US,31.506738544474395,7.4,13.944444444444445,32.12416851441242,0.011,43.07392502,-89.38524628
Madrid, ES,38.61185983827493,9.1,18.452328159645237,37.89356984478936,0.016,40.41669083,-3.70034599
Malmö, SE,29.29891304347826,6.9,0.0,0.0,0.009,55.60331345,13.0013113
Manama, BH,130.9533073929961,47.2,0.0,0.0,0.134,26.22350502,50.58224487
Manchester, GB,36.328840970350406,8.6,0.0,0.0,0.015,53.48071289,-2.23437595
Manhattan, US,27.06738544474393,6.4,0.0,27.789356984478932,0.008,40.75325012,-74.00380707
Marseille, FR,42.50270270270271,10.0,0.0,0.0,0.019,43.29502106,5.37448692
Mashhad, IR,82.3975155279503,26.8,0.0,0.0,0.071,36.29749298,59.6059227
Matsuyama, JP,41.40970350404313,9.8,0.0,0.0,0.018,33.83700562,132.77154541
Medellín, CO,61.68021680216802,16.8,0.0,0.0,0.04,6.24433804,-75.57355499
Melbourne, AU,24.665768194070083,5.7,14.869179600886918,24.753880266075388,0.006,-37.81546021,144.96716309
Memphis, US,34.84636118598383,8.1,0.0,34.86474501108648,0.013,35.14337921,-90.05213928
Metz, FR,39.73559322033898,9.3,0.0,0.0,0.017,49.11446381,6.17209005
Mexico City, MX,62.55795148247979,17.3,0.0,0.0,0.042,19.43267822,-99.13420868
Miami, US,28.9811320754717,6.7,15.671840354767184,29.4390243902439,0.009,25.77508354,-80.19470215
Middelburg, ZA,48.20612813370474,11.5,0.0,0.0,0.024,-25.76609039,29.45779991
Milan, IT,67.90785907859079,19.7,0.0,0.0,0.049,45.46361923,9.18811607
Milwaukee, US,33.71159029649596,7.9,16.161862527716185,34.108647450110865,0.013,43.04107285,-87.90942383
Miskolc, HU,56.43835616438356,14.4,0.0,0.0,0.033,48.10433578,20.7916584
Mississauga, CA,27.06738544474393,6.4,0.0,0.0,0.008,43.59129333,-79.6502533
Miyazaki, JP,44.14324324324324,10.5,0.0,0.0,0.021,31.91699982,131.41700745
Modena, IT,59.85405405405405,15.9,0.0,0.0,0.037,44.64709854,10.92519188
Mokpo, KR,52.37196765498652,12.5,27.662971175166295,54.05764966740576,0.027,34.79685593,126.39441681
Monterrey, MX,64.1638418079096,18.2,0.0,0.0,0.045,25.66469765,-100.3108902
Montpellier, FR,36.544474393531,8.6,0.0,0.0,0.015,43.60829163,3.87960291
Montréal, CA,29.97035040431267,6.9,0.0,0.0,0.009,45.50906372,-73.55335999
Morelia, MX,59.57846153846154,15.9,0.0,0.0,0.037,19.70187187,-101.19234467
