1691,Goettingen,Niedersachsen,0,9.9507,51.5002,167

DNI (W/m^2),GHI (W/m^2),Date (MM/DD/YYYY),Time (HH:MM),DHI (W/m^2),Dry-bulb (C),Alb

0,0,01/14/2019,00:00,0,5,75,0.25

0,0,01/14/2019,01:00,0,6,62,0.25

0,0,01/14/2019,02:00,0,7,12,0.25

0,0,01/14/2019,03:00,0,7,35,0.25

0,0,01/14/2019,04:00,0,7,52,0.25

0,0,01/14/2019,05:00,0,8,03,0.25

0,0,01/14/2019,06:00,0,8,37,0.25

0,0,01/14/2019,07:00,0,8,52,0.25

4,4444,12,3456,01/14/2019,08:00,7,9012,8,42,0.25

52,5001,145,8334,01/14/2019,09:00,93,3334,8,82,0.25

74,4445,206,7901,01/14/2019,10:00,132,3457,9,72,0.25

69,9999,194,4445,01/14/2019,11:00,124,4444,10,38,0.25

93,0555,258,4877,01/14/2019,12:00,165,4321,10,13,0.25

134,4443,373,4568,01/14/2019,13:00,239,0122,10,55,0.25

94,4445,262,3457,01/14/2019,14:00,167,9013,10,78,0.25

33,8888,94,1359,01/14/2019,15:00,60,2469,10,67,0.25

3,8889,10,8024,01/14/2019,16:00,6,9136,10,5,0.25

0,0,01/14/2019,17:00,0,10,47,0.25

0,0,01/14/2019,18:00,0,10,03,0.25

0,0,01/14/2019,19:00,0,9,88,0.25

0,0,01/14/2019,20:00,0,9,93,0.25

0,0,01/14/2019,21:00,0,10,55,0.25

0,0,01/14/2019,22:00,0,11,02,0.25

0,0,01/14/2019,23:00,0,11,13,0.25

0,0,01/15/2019,00:00,0,11,05,0.25

0,0,01/15/2019,01:00,0,11,42,0.25

0,0,01/15/2019,02:00,0,11,53,0.25

0,0,01/15/2019,03:00,0,11,63,0.25

0,0,01/15/2019,04:00,0,11,65,0.25

0,0,01/15/2019,05:00,0,10,62,0.25

0,0,01/15/2019,06:00,0,9,97,0.25

0,0,01/15/2019,07:00,0,9,85,0.25

9,7222,27,0062,01/15/2019,08:00,17,2839,10,02,0.25

38,6111,107,253,01/15/2019,09:00,68,6421,10,2,0.25

46,6666,129,6295,01/15/2019,10:00,82,9629,10,6,0.25

57,2222,158,9508,01/15/2019,11:00,101,7284,11,48,0.25

85,2778,236,8828,01/15/2019,12:00,151,6049,12,17,0.25

89,1667,247,6852,01/15/2019,13:00,158,5186,13,33,0.25

73,8889,205,247,01/15/2019,14:00,131,3581,12,83,0.25

40,5555,112,6542,01/15/2019,15:00,72,0988,12,08,0.25

9,4445,26,2345,01/15/2019,16:00,16,7902,11,17,0.25

0,0,01/15/2019,17:00,0,10,87,0.25

0,0,01/15/2019,18:00,0,11,07,0.25

0,0,01/15/2019,19:00,0,11,57,0.25

0,0,01/15/2019,20:00,0,11,88,0.25

0,0,01/15/2019,21:00,0,12,07,0.25

