,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time
2020-01-18 20:00:00,61.300817896762965,61.33140280541349,28.699182103237035,28.66859719458651,193.2659698967856,-10.339001802938583
2020-01-18 21:00:00,65.39307895918785,65.42953318519088,24.606921040812153,24.570466814809116,208.30174508622997,-10.35226086440889
2020-01-18 22:00:00,71.99254965602167,72.04344905652644,18.00745034397833,17.95655094347355,221.60733625745328,-10.365499697720225
2020-01-18 23:00:00,80.43629666386127,80.53064587571127,9.563703336138731,9.469354124288731,233.1359772650389,-10.378718282969203
2020-01-19 00:00:00,89.79642247890882,90.32758517283175,0.20357752109117078,-0.3275851728317447,243.2414412812838,-10.391916599885008
2020-01-19 01:00:00,101.00039253123977,101.00039253123977,-11.000392531239763,-11.000392531239763,252.4273552004972,-10.405094628520601
2020-01-19 02:00:00,112.21980190176613,112.21980190176613,-22.219801901766136,-22.219801901766136,261.2613982000503,-10.41825234900898
2020-01-19 03:00:00,123.70964539098452,123.70964539098452,-33.70964539098451,-33.70964539098451,270.4368942876232,-10.431389740984741
2020-01-19 04:00:00,135.17268119383544,135.17268119383544,-45.17268119383546,-45.17268119383546,281.00618120133134,-10.444506784504483
2020-01-19 05:00:00,146.13942946882116,146.13942946882116,-56.13942946882115,-56.13942946882115,294.98788065104605,-10.457603459755774
2020-01-19 06:00:00,155.53378540021242,155.53378540021242,-65.53378540021241,-65.53378540021241,316.7801665729495,-10.470679746285896
2020-01-19 07:00:00,160.5990446250009,160.5990446250009,-70.5990446250009,-70.5990446250009,352.5859164627252,-10.48373562420602
2020-01-19 08:00:00,157.99795446761468,157.99795446761468,-67.99795446761468,-67.99795446761468,32.41653407600347,-10.496771073583659
2020-01-19 09:00:00,149.67178133515435,149.67178133515435,-59.67178133515434,-59.67178133515434,58.57277000011527,-10.50978607406796
2020-01-19 10:00:00,139.0686997012927,139.0686997012927,-49.068699701292715,-49.068699701292715,74.58927774503991,-10.522780605751905
2020-01-19 11:00:00,127.70078717298186,127.70078717298186,-37.70078717298186,-37.70078717298186,86.03111414937644,-10.535754648630245
2020-01-19 12:00:00,116.1721090984005,116.1721090984005,-26.1721090984005,-26.1721090984005,95.5360449137201,-10.548708182428527
2020-01-19 13:00:00,104.81457850628999,104.81457850628999,-14.814578506289983,-14.814578506289983,104.3926518729919,-10.561641187156056
2020-01-19 14:00:00,93.90062811052036,93.90062811052036,-3.9006281105203655,-3.9006281105203655,113.38101073259742,-10.574553642916726
2020-01-19 15:00:00,83.59912165260636,83.73371109694197,6.4008783473936495,6.266288903058028,123.09982481827797,-10.587445529316028
2020-01-19 16:00:00,74.64627537918403,74.70612774353339,15.353724620815969,15.293872256466608,134.07973217835985,-10.600316826436028
2020-01-19 17:00:00,67.29753232807549,67.33736396089274,22.70246767192451,22.662636039107255,146.7525664108154,-10.613167514351517
2020-01-19 18:00:00,62.22726499339091,62.259042185181514,27.77273500660909,27.740957814818483,161.2544424614091,-10.625997572744382
2020-01-19 19:00:00,60.04892406680494,60.07800264807832,29.951075933195057,29.921997351921682,177.12116426185798,-10.638806981645757
2020-01-19 20:00:00,61.08356718371367,61.113882384747896,28.916432816286328,28.886117615252108,193.22842896289887,-10.65159572117409
2020-01-19 21:00:00,65.17364187411101,65.20973728127774,24.82635812588898,24.790262718722264,208.31660998292358,-10.664363770942145
2020-01-19 22:00:00,71.77901713394277,71.82930042056702,18.22098286605723,18.170699579432977,221.66227202952405,-10.677111111119302
2020-01-19 23:00:00,80.23322474179216,80.32576084242976,9.766775258207838,9.674239157570241,233.21901247064423,-10.68983772172578
2020-01-20 00:00:00,89.63164815102053,90.1324268746477,0.36835184897947215,-0.132426874647708,243.3448342901198,-10.702543582527142
2020-01-20 01:00:00,100.81356370237313,100.81356370237313,-10.81356370237313,-10.81356370237313,252.54770853155816,-10.715228673579986
2020-01-20 02:00:00,112.03871945527902,112.03871945527902,-22.038719455279015,-22.038719455279015,261.3986936268357,-10.727892975031864
2020-01-20 03:00:00,123.53057257570009,123.53057257570009,-33.530572575700084,-33.530572575700084,270.5934405726384,-10.740536466568301
2020-01-20 04:00:00,134.99016660965032,134.99016660965032,-44.990166609650316,-44.990166609650316,281.1844478017887,-10.753159128344123
2020-01-20 05:00:00,145.9453442555569,145.9453442555569,-55.9453442555569,-55.9453442555569,295.1805480562052,-10.765760940514156
2020-01-20 06:00:00,155.31940702276904,155.31940702276904,-65.31940702276903,-65.31940702276903,316.9201438395115,-10.778341882814857
2020-01-20 07:00:00,160.38217770643197,160.38217770643197,-70.38217770643197,-70.38217770643197,352.43888529112877,-10.790901935448346
2020-01-20 08:00:00,157.839959281103,157.839959281103,-67.83995928110299,-67.83995928110299,31.999506539245886,-10.803441078543983
2020-01-20 09:00:00,149.57101308026265,149.57101308026265,-59.57101308026264,-59.57101308026264,58.179863760846956,-10.815959291918261
2020-01-20 10:00:00,138.9959264127314,138.9959264127314,-48.9959264127314,-48.9959264127314,74.26776116937128,-10.828456555784214
2020-01-20 11:00:00,127.63776767367801,127.63776767367801,-37.63776767367801,-37.63776767367801,85.76058004247432,-10.840932850314857
2020-01-20 12:00:00,116.1082469407954,116.1082469407954,-26.1082469407954,-26.1082469407954,95.29753094440014,-10.853388155413995
2020-01-20 13:00:00,104.74264874879245,104.74264874879245,-14.742648748792448,-14.742648748792448,104.17363204922344,-10.86582245128011
2020-01-20 14:00:00,93.81472177682753,93.81472177682753,-3.814721776827531,-3.814721776827531,113.17380558972854,-10.878235718195356
2020-01-20 15:00:00,83.49558466499097,83.62835816110707,6.504415335009033,6.371641838892921,122.90083416463659,-10.8906279360599
2020-01-20 16:00:00,74.51688014397575,74.57623119565982,15.483119856024246,15.423768804340186,133.89009044751327,-10.902999085159536
2020-01-20 17:00:00,67.13958560463088,67.17911768980333,22.860414395369116,22.820882310196662,146.57986175860117,-10.915349145863729
