date;time;GHI;DHI
25.09.2020;04:30:00;0;0
25.09.2020;04:40:00;0;0
25.09.2020;04:50:00;0;0
25.09.2020;05:00:00;0;0
25.09.2020;05:10:00;0;0
25.09.2020;05:20:00;0;0
25.09.2020;05:30:00;0;0
25.09.2020;05:40:00;6.666666667;6.666666667
25.09.2020;05:50:00;18.33333333;18.33333333
25.09.2020;06:00:00;25;25
25.09.2020;06:10:00;30;28.33333333
25.09.2020;06:20:00;53.33333333;41.66666667
25.09.2020;06:30:00;78.33333333;45
25.09.2020;06:40:00;111.6666667;66.66666667
25.09.2020;06:50:00;131.6666667;80
25.09.2020;07:00:00;73.33333333;71.66666667
25.09.2020;07:10:00;113.3333333;90
25.09.2020;07:20:00;145;98.33333333
25.09.2020;07:30:00;145;113.3333333
25.09.2020;07:40:00;206.6666667;168.3333333
25.09.2020;07:50:00;213.3333333;166.6666667
25.09.2020;08:00:00;203.3333333;180
25.09.2020;08:10:00;176.6666667;176.6666667
25.09.2020;08:20:00;95;95
25.09.2020;08:30:00;105;105
25.09.2020;08:40:00;108.3333333;108.3333333
25.09.2020;08:50:00;121.6666667;121.6666667
25.09.2020;09:00:00;190;190
25.09.2020;09:10:00;230;226.6666667
25.09.2020;09:20:00;300;260
25.09.2020;09:30:00;345;301.6666667
25.09.2020;09:40:00;278.3333333;251.6666667
25.09.2020;09:50:00;470;216.6666667
25.09.2020;10:00:00;360;240
25.09.2020;10:10:00;346.6666667;273.3333333
25.09.2020;10:20:00;586.6666667;256.6666667
25.09.2020;10:30:00;410;258.3333333
25.09.2020;10:40:00;286.6666667;261.6666667
25.09.2020;10:50:00;296.6666667;240
25.09.2020;11:00:00;165;165
25.09.2020;11:10:00;353.3333333;303.3333333
25.09.2020;11:20:00;456.6666667;276.6666667
25.09.2020;11:30:00;486.6666667;258.3333333
25.09.2020;11:40:00;565;193.3333333
25.09.2020;11:50:00;670;155
25.09.2020;12:00:00;606.6666667;160
25.09.2020;12:10:00;426.6666667;266.6666667
25.09.2020;12:20:00;295;280
25.09.2020;12:30:00;411.6666667;261.6666667
25.09.2020;12:40:00;420;268.3333333
25.09.2020;12:50:00;445;205
25.09.2020;13:00:00;303.3333333;186.6666667
25.09.2020;13:10:00;148.3333333;146.6666667
25.09.2020;13:20:00;130;130
25.09.2020;13:30:00;180;165
25.09.2020;13:40:00;241.6666667;195
25.09.2020;13:50:00;511.6666667;218.3333333
25.09.2020;14:00:00;336.6666667;195
25.09.2020;14:10:00;295;195
25.09.2020;14:20:00;136.6666667;136.6666667
25.09.2020;14:30:00;183.3333333;163.3333333
25.09.2020;14:40:00;113.3333333;113.3333333
25.09.2020;14:50:00;86.66666667;86.66666667
25.09.2020;15:00:00;63.33333333;63.33333333
25.09.2020;15:10:00;93.33333333;93.33333333
25.09.2020;15:20:00;161.6666667;101.6666667
25.09.2020;15:30:00;331.6666667;140
25.09.2020;15:40:00;83.33333333;83.33333333
25.09.2020;15:50:00;41.66666667;41.66666667
25.09.2020;16:00:00;6.666666667;6.666666667
25.09.2020;16:10:00;16.66666667;16.66666667
25.09.2020;16:20:00;41.66666667;36.66666667
25.09.2020;16:30:00;73.33333333;68.33333333
25.09.2020;16:40:00;66.66666667;53.33333333
25.09.2020;16:50:00;38.33333333;25
25.09.2020;17:00:00;36.66666667;21.66666667
25.09.2020;17:10:00;18.33333333;16.66666667
25.09.2020;17:20:00;5;5
25.09.2020;17:30:00;0;0
25.09.2020;17:40:00;0;0
25.09.2020;17:50:00;0;0
25.09.2020;18:00:00;0;0
25.09.2020;18:10:00;0;0
25.09.2020;18:20:00;0;0
25.09.2020;18:30:00;0;0
25.09.2020;18:40:00;0;0
25.09.2020;18:50:00;0;0
25.09.2020;19:00:00;0;0
25.09.2020;19:10:00;0;0
25.09.2020;19:20:00;0;0
25.09.2020;19:30:00;0;0
25.09.2020;19:40:00;0;0
