Date,Specie,median
2022-06-29,pm25,34.0
2022-06-30,wind-speed,4.8
2022-06-30,humidity,64.6
2022-06-30,pm25,25.0
2022-07-01,wind-speed,4.6
2022-07-01,humidity,64.0
2022-07-01,pm25,21.0
2022-07-02,wind-speed,4.7
2022-07-02,pm25,13.0
2022-07-02,humidity,72.2
2022-07-03,pm25,13.0
2022-07-03,humidity,64.2
2022-07-03,wind-speed,5.6
2022-07-04,pm25,13.0
2022-07-04,humidity,65.5
2022-07-04,wind-speed,2.8
2022-07-05,humidity,65.3
2022-07-05,wind-speed,4.0
2022-07-05,pm25,13.0
2022-07-06,wind-speed,4.8
2022-07-06,pm25,9.0
2022-07-06,humidity,64.8
2022-07-07,wind-speed,3.6
2022-07-07,pm25,9.0
2022-07-07,humidity,62.1
2022-07-08,wind-speed,3.1
2022-07-08,humidity,63.5
2022-07-08,pm25,13.0
2022-07-09,humidity,65.0
2022-07-09,wind-speed,3.3
2022-07-09,pm25,17.0
2022-07-10,humidity,62.8
2022-07-10,wind-speed,2.7
2022-07-10,pm25,25.0
2022-07-11,wind-speed,3.0
2022-07-11,pm25,34.0
2022-07-11,humidity,63.6
2022-07-12,pm25,13.0
2022-07-12,humidity,66.1
2022-07-12,wind-speed,4.5
2022-07-13,pm25,13.0
2022-07-13,humidity,68.5
2022-07-13,wind-speed,4.5
2022-07-14,humidity,68.5
2022-07-14,wind-speed,3.7
2022-07-14,pm25,42.0
2022-07-15,wind-speed,3.5
2022-07-15,pm25,30.0
2022-07-15,humidity,67.8
2022-07-16,wind-speed,2.8
2022-07-16,pm25,25.0
2022-07-16,humidity,65.8
2022-07-17,pm25,46.0
2022-07-17,humidity,69.0
2022-07-17,wind-speed,3.0
2022-07-18,humidity,69.3
2022-07-18,wind-speed,3.0
2022-07-18,pm25,50.0
2022-07-19,humidity,69.3
2022-07-19,wind-speed,2.8
2022-07-19,pm25,25.0
2022-07-20,humidity,69.0
2022-07-20,pm25,17.0
2022-07-20,wind-speed,3.2
2022-07-21,pm25,17.0
2022-07-21,wind-speed,3.1
2022-07-21,humidity,70.8
2022-07-22,pm25,30.0
2022-07-22,wind-speed,2.8
2022-07-22,humidity,69.6
2022-07-23,pm25,17.0
2022-07-23,wind-speed,3.6
2022-07-23,humidity,72.1
2022-07-24,pm25,30.0
2022-07-24,wind-speed,3.7
2022-07-24,humidity,73.5
2022-07-25,wind-speed,4.0
2022-07-25,humidity,74.3
2022-07-25,pm25,13.0
2022-07-26,humidity,75.6
2022-07-26,wind-speed,4.5
2022-07-26,pm25,13.0
2022-07-27,humidity,76.1
2022-07-27,wind-speed,4.0
2022-07-27,pm25,13.0
2022-07-28,wind-speed,4.0
2022-07-28,pm25,9.0
2022-07-28,humidity,77.5
2022-07-29,pm25,9.0
2022-07-29,humidity,79.6
2022-07-29,wind-speed,4.5
2022-07-30,pm25,9.0
2022-07-30,humidity,81.0
2022-07-30,wind-speed,5.0
2022-07-31,pm25,9.0
2022-07-31,wind-speed,4.0
2022-07-31,humidity,80.9
2022-08-01,wind-speed,2.0
2022-08-01,pm25,17.0
2022-08-01,humidity,78.3
2022-08-02,wind-speed,2.8
2022-08-02,pm25,25.0
2022-08-02,humidity,69.0
2022-08-03,pm25,21.0
2022-08-03,humidity,77.1
2022-08-03,wind-speed,3.1
2022-08-04,humidity,78.5
2022-08-04,wind-speed,4.0
2022-08-04,pm25,34.0
2022-08-05,humidity,74.5
2022-08-05,wind-speed,4.5
2022-08-05,pm25,17.0
2022-08-06,wind-speed,4.5
2022-08-06,pm25,17.0
2022-08-06,humidity,79.6
2022-08-07,pm25,17.0
2022-08-07,humidity,79.3
2022-08-07,wind-speed,4.3
2022-08-08,pm25,17.0
2022-08-08,humidity,79.3
2022-08-08,wind-speed,4.1
2022-08-09,humidity,78.5
2022-08-09,wind-speed,5.3
2022-08-09,pm25,13.0
2022-08-10,wind-speed,3.7
2022-08-10,pm25,17.0
2022-08-10,humidity,81.2
2022-08-11,wind-speed,4.0
2022-08-11,pm25,13.0
2022-08-11,humidity,80.6
2022-08-12,wind-speed,3.7
2022-08-12,humidity,79.2
2022-08-12,pm25,21.0
2022-08-13,humidity,78.7
2022-08-13,pm25,30.0
2022-08-13,wind-speed,3.0
2022-08-14,humidity,72.1
2022-08-14,pm25,46.0
2022-08-14,wind-speed,2.8
2022-08-15,humidity,76.0
2022-08-15,pm25,53.0
2022-08-15,wind-speed,2.0
2022-08-16,humidity,67.1
2022-08-16,pm25,50.0
2022-08-16,wind-speed,2.7
2022-08-17,humidity,75.6
2022-08-17,wind-speed,3.2
2022-08-17,pm25,21.0
2022-08-18,wind-speed,2.8
2022-08-18,pm25,17.0
2022-08-18,humidity,83.0
2022-08-19,wind-speed,3.3
2022-08-19,pm25,21.0
2022-08-19,humidity,83.5
2022-08-20,pm25,38.0
2022-08-20,humidity,80.4
2022-08-20,wind-speed,2.5
2022-08-21,humidity,82.7
2022-08-21,wind-speed,3.6
2022-08-21,pm25,21.0
2022-08-22,humidity,77.0
2022-08-22,wind-speed,3.5
2022-08-22,pm25,13.0
2022-08-23,humidity,84.1
2022-08-23,pm25,13.0
2022-08-23,wind-speed,3.0
2022-08-24,pm25,21.0
2022-08-24,humidity,83.8
