Date,Specie,median
2022-04-25,wind-speed,1.3
2022-04-26,wind-speed,2.8
2022-04-26,pm10,35.0
2022-04-26,humidity,12.3
2022-04-26,pm25,42.0
2022-04-27,pm10,35.0
2022-04-27,humidity,11.4
2022-04-27,wind-speed,3.9
2022-04-27,pm25,38.0
2022-04-28,wind-speed,3.2
2022-04-28,pm25,38.0
2022-04-28,humidity,12.8
2022-04-28,pm10,25.0
2022-04-29,humidity,15.8
2022-04-29,pm25,42.0
2022-04-29,pm10,30.0
2022-04-29,wind-speed,1.7
2022-04-30,pm10,40.0
2022-04-30,wind-speed,1.6
2022-04-30,humidity,11.6
2022-04-30,pm25,50.0
2022-05-01,humidity,12.5
2022-05-01,pm25,46.0
2022-05-01,pm10,38.0
2022-05-01,wind-speed,3.9
2022-05-02,wind-speed,2.5
2022-05-02,humidity,18.0
2022-05-02,pm10,27.0
2022-05-02,pm25,42.0
2022-05-03,humidity,22.0
2022-05-03,pm25,38.0
2022-05-03,pm10,30.0
2022-05-03,wind-speed,3.0
2022-05-04,pm10,34.0
2022-05-04,wind-speed,2.1
2022-05-04,humidity,17.5
2022-05-04,pm25,34.0
2022-05-05,wind-speed,1.8
2022-05-05,pm25,25.0
2022-05-05,humidity,10.3
2022-05-05,pm10,24.0
2022-05-06,pm10,25.0
2022-05-06,humidity,10.0
2022-05-06,wind-speed,1.7
2022-05-06,pm25,25.0
2022-05-07,pm10,32.0
2022-05-07,wind-speed,2.8
2022-05-07,humidity,9.1
2022-05-07,pm25,34.0
2022-05-08,humidity,12.2
2022-05-08,wind-speed,4.9
2022-05-08,pm10,24.0
2022-05-08,pm25,30.0
2022-05-09,pm10,20.0
2022-05-09,pm25,25.0
2022-05-09,humidity,17.2
2022-05-09,wind-speed,3.2
2022-05-10,pm10,29.0
2022-05-10,humidity,16.7
2022-05-10,wind-speed,2.4
2022-05-10,pm25,30.0
2022-05-11,pm10,35.0
2022-05-11,humidity,13.0
2022-05-11,pm25,30.0
2022-05-11,wind-speed,3.0
2022-05-12,pm10,30.0
2022-05-12,pm25,21.0
2022-05-12,humidity,8.7
2022-05-12,wind-speed,2.2
2022-05-13,humidity,8.9
2022-05-13,pm10,30.0
2022-05-13,pm25,25.0
2022-05-13,wind-speed,2.1
2022-05-14,wind-speed,1.7
2022-05-14,humidity,7.0
2022-05-14,pm25,21.0
2022-05-14,pm10,25.0
2022-05-15,pm25,21.0
2022-05-15,pm10,22.0
2022-05-15,wind-speed,2.2
2022-05-15,humidity,6.0
2022-05-16,pm25,21.0
2022-05-16,wind-speed,2.2
2022-05-16,pm10,21.0
2022-05-16,humidity,9.0
2022-05-17,pm10,21.0
2022-05-17,pm25,25.0
2022-05-17,wind-speed,2.4
2022-05-17,humidity,11.5
2022-05-18,pm10,26.0
2022-05-18,humidity,15.7
2022-05-18,wind-speed,2.4
2022-05-18,pm25,30.0
2022-05-19,pm25,30.0
2022-05-19,humidity,18.7
2022-05-19,pm10,30.0
2022-05-19,wind-speed,2.7
2022-05-20,pm10,33.0
2022-05-20,humidity,18.8
2022-05-20,pm25,30.0
2022-05-20,wind-speed,5.0
2022-05-21,pm10,25.0
2022-05-21,pm25,25.0
2022-05-21,humidity,21.0
2022-05-21,wind-speed,4.2
2022-05-22,pm25,34.0
2022-05-22,pm10,23.0
2022-05-22,humidity,20.0
2022-05-22,wind-speed,2.4
2022-05-23,pm25,21.0
2022-05-23,wind-speed,2.7
2022-05-23,pm10,22.0
2022-05-23,humidity,20.0
2022-05-24,pm10,27.0
2022-05-24,humidity,13.2
2022-05-24,pm25,21.0
2022-05-24,wind-speed,2.1
2022-05-25,pm25,25.0
2022-05-25,pm10,27.0
2022-05-25,humidity,14.5
2022-05-25,wind-speed,1.9
2022-05-26,wind-speed,2.0
2022-05-26,humidity,16.1
2022-05-26,pm25,30.0
2022-05-26,pm10,27.0
2022-05-27,wind-speed,2.5
2022-05-27,pm25,30.0
2022-05-27,pm10,26.0
2022-05-27,humidity,14.6
2022-05-28,pm25,17.0
2022-05-28,wind-speed,4.0
2022-05-28,humidity,7.1
2022-05-28,pm10,21.0
2022-05-29,pm10,18.0
2022-05-29,pm25,17.0
2022-05-29,humidity,13.4
2022-05-29,wind-speed,4.3
2022-05-30,wind-speed,3.2
2022-05-30,humidity,19.6
2022-05-30,pm25,21.0
2022-05-30,pm10,20.0
2022-05-31,humidity,14.5
2022-05-31,pm10,21.0
2022-05-31,pm25,21.0
2022-05-31,wind-speed,2.2
2022-06-01,wind-speed,2.0
2022-06-01,humidity,14.2
2022-06-01,pm10,23.0
2022-06-01,pm25,21.0
2022-06-02,humidity,12.1
2022-06-02,wind-speed,2.1
2022-06-02,pm10,24.0
