Wavelength [nm];Reflectivity
2319.5;39.8415
2320.6;39.9018
2321.6;40.0243
2322.6;40.0758
2323.7;40.0324
2324.7;39.9765
2325.8;39.8937
2326.8;39.9061
2327.9;39.8893
2328.9;39.7956
2330;39.8739
2331;39.9481
2332.1;39.7772
2333.1;39.6222
2334.2;39.7716
2335.2;39.9118
2336.3;39.7636
2337.3;39.7731
2338.4;39.7772
2339.4;39.6126
2340.5;39.5863
2341.5;39.6811
2342.6;39.7299
2343.6;39.6461
2344.7;39.6586
2345.8;39.6769
2346.8;39.5988
2347.9;39.5609
2349;39.4835
2350;39.5499
2351.1;39.6112
2352.2;39.5543
2353.2;39.6071
2354.3;39.5363
2355.4;39.5031
2356.4;39.5624
2357.5;39.5055
2358.6;39.4865
2359.7;39.4352
2360.7;39.349
2361.8;39.4516
2362.9;39.4652
2364;39.4281
2365;39.4931
2366.1;39.5573
2367.2;39.525
2368.3;39.5155
2369.4;39.4865
2370.4;39.4821
2371.5;39.5004
2372.6;39.5499
2373.7;39.4945
2374.8;39.341
2375.9;39.3877
2377;39.4652
2378.1;39.4586
2379.1;39.4945
2380.2;39.4223
2381.3;39.3659
2382.4;39.3007
2383.5;39.2802
2384.6;39.2676
2385.7;39.1586
2386.8;39.1754
2387.9;39.2289
2389;39.2179
2390.1;39.2165
2391.2;39.2179
2392.3;39.2676
2393.4;39.2743
2394.5;39.1586
2395.6;39.0529
2396.7;39.1247
2397.9;39.1989
2399;39.2055
2400.1;39.1811
2401.2;39.1535
2402.3;39.1535
2403.4;39.0954
2404.5;38.9542
2405.6;38.9313
2406.8;39.0819
2407.9;39.2399
2409;39.2494
2410.1;39.0807
2411.2;38.9735
2412.4;39.0241
2413.5;38.9572
2414.6;38.8561
2415.7;38.7782
2416.9;38.7863
2418;38.8888
2419.1;38.8644
2420.2;38.8998
2421.4;38.9323
2422.5;38.8202
2423.6;38.7825
2424.8;38.7702
2425.9;38.7045
2427;38.706
2428.2;38.7318
2429.3;38.6203
2430.5;38.4484
2431.6;38.404
2432.7;38.4716
2433.9;38.4876
2435;38.4364
2436.2;38.4269
2437.3;38.4379
2438.5;38.2907
2439.6;38.2086
2440.8;38.1269
2441.9;38.1781
2443.1;38.2318
2444.2;38.1647
2445.4;38.1967
2446.5;38.257
2447.7;38.2235
2448.8;38.1657
2450;38.1737
2451.1;38.1083
2452.3;38.0255
2453.5;37.9718
2454.6;37.9308
2455.8;37.9308
2456.9;38.0067
2458.1;38.0546
2459.3;37.9972
2460.4;37.9198
2461.6;37.8626
2462.8;37.9105
2464;37.9
2465.1;37.8561
2466.3;37.8761
2467.5;37.7191
2468.6;37.6637
2469.8;37.7124
2471;37.6862
2472.2;37.7169
2473.4;37.755
2474.5;37.6293
2475.7;37.5646
2476.9;37.6254
2478.1;37.6547
2479.3;37.546
2480.5;37.4115
2481.6;37.4669
2482.8;37.5211
2484;37.5076
2485.2;37.5525
2486.4;37.4408
2487.6;37.3461
2488.8;37.3512
2490;37.3119
2491.2;37.2504
2492.4;37.3581
2493.6;37.4315
2494.8;37.2494
2496;37.1626
2497.2;37.2963
2498.4;37.3092
2499.6;37.2599
2500.8;37.2389
2502;37.1249
2503.2;37.0325
2504.4;36.9765
2505.6;36.9933
2506.8;37.0287
2508.1;37.0441
2509.3;37.0546
2510.5;37.0726
2511.7;37.1044
2512.9;37.1459
2514.1;37.09
2515.4;37.0014
2516.6;36.9638
2517.8;36.9425
2519;36.9091
2520.2;37.0127
2521.5;36.9882
2522.7;36.9015
2523.9;36.944
2525.2;37.0158
2526.4;37.0168
2527.6;36.9106
2528.9;36.9075
2530.1;37.0023
2531.3;36.9689
2532.6;36.8832
2533.8;36.8537
2535;36.8234
2536.3;36.786
2537.5;36.8947
2538.8;36.8468
2540;36.737
2541.3;36.7152
2542.5;36.5722
2543.7;36.5697
2545;36.7011
2546.2;36.6364
2547.5;36.589
2548.7;36.6689
2550;36.5929
2551.3;36.5456
2552.5;36.5211
2553.8;36.6173
2555;36.8158
2556.3;36.7885
2557.5;36.745
2558.8;36.6095
2560.1;36.1515
2561.3;35.7716
2562.6;35.7865
2563.9;35.9645
2565.1;36.3377
2566.4;36.6105
2567.7;36.4594
2569;36.0541
2570.2;36.1264
2571.5;36.2819
2572.8;35.8483
2574.1;35.9845
2575.3;36.1898
2576.6;36.0631
2577.9;36.3517
2579.2;36.3468
2580.5;35.9215
2581.7;35.8861
2583;35.5487
2584.3;35.6186
2585.6;35.9476
2586.9;35.7123
2588.2;35.8498
2589.5;36.0048
2590.8;36.1823
2592.1;35.9655
2593.4;34.9442
2594.7;33.9911
2596;34.8471
2597.3;35.8659
2598.6;36.2257
2599.9;36.0324
2601.2;35.7587
2602.5;35.6474
2603.8;35.3593
2605.1;34.873
2606.4;35.1275
2607.7;35.4091
2609;35.4127
2610.3;35.5597
2611.7;35.7253
2613;35.6424
2614.3;35.5673
2615.6;35.0846
2616.9;34.7362
2618.3;35.0045
2619.6;34.7387
2620.9;34.8573
2622.2;35.4152
2623.6;35.5761
2624.9;35.3405
2626.2;34.7543
2627.5;34.8534
2628.9;34.6337
2630.2;34.1601
2631.5;34.5959
2632.9;34.7802
2634.2;34.7127
2635.6;34.9247
2636.9;34.9874
2638.2;34.8854
2639.6;34.7912
2640.9;34.6801
2642.3;34.6212
2643.6;34.5353
2645;34.1242
2646.3;34.0939
2647.7;34.2572
2649;34.1711
2650.4;33.8898
2651.7;33.5331
2653.1;33.5121
2654.5;33.4543
2655.8;33.2211
2657.2;33.3022
2658.5;32.9827
2659.9;32.6088
2661.3;32.5033
2662.6;32.3632
2664;31.5258
2665.4;30.7931
2666.7;30.6908
2668.1;30.8378
2669.5;29.9955
2670.9;29.8002
2672.2;30.3832
2673.6;30.2199
2675;29.5419
2676.4;28.7724
2677.8;28.4189
2679.1;28.048
2680.5;27.882
2681.9;27.3542
2683.3;26.4196
2684.7;25.5588
2686.1;24.7265
2687.5;23.8012
2688.9;22.6459
2690.3;21.2961
2691.7;19.81
2693.1;18.1677
2694.5;16.7541
2695.9;15.5046
2697.3;14.2797
2698.7;13.0864
2700.1;11.9555
2701.5;10.9057
2702.9;10.2654
2704.3;10.0085
2705.7;10.0366
2707.1;10.1985
2708.5;10.4458
2710;10.6491
2711.4;10.8535
2712.8;11.0517
2714.2;11.0293
2715.6;10.9009
2717.1;10.6372
2718.5;10.2697
2719.9;9.7807
2721.3;9.4941
2722.8;9.2698
2724.2;8.9189
2725.6;8.8037
2727.1;8.6601
2728.5;8.4409
2729.9;8.3017
2731.4;8.1074
2732.8;7.8713
2734.3;7.6189
2735.7;7.467
2737.1;7.3574
2738.6;7.1091
2740;6.9436
2741.5;6.938
2742.9;6.9765
2744.4;6.9236
2745.8;6.821
2747.3;6.7842
2748.8;6.7063
2750.2;6.5671
2751.7;6.3645
2753.1;6.1833
2754.6;5.9551
2756.1;5.8479
2757.5;5.8469
2759;5.7683
2760.5;5.5439
2761.9;5.4328
2763.4;5.6819
2764.9;6.0373
2766.4;6.2095
2767.8;6.332
2769.3;6.4695
2770.8;6.5493
2772.3;6.6416
2773.8;6.7197
2775.2;6.7192
2776.7;6.7532
2778.2;6.8364
2779.7;6.8288
2781.2;6.8196
