Wavelength [nm];Reflectivity
1660;0.16962971
1661;0.16971658
1661.9999;0.16979775
1663;0.16987637
1664;0.169955
1665;0.17003173
1666;0.17009972
1667.0001;0.17016312
1668;0.17022884
1669;0.17028773
1670;0.1703438
1671;0.17040248
1672.0001;0.17046162
1673;0.17052144
1674;0.17057396
1675;0.1706228
1676;0.17067233
1677;0.17071199
1678;0.17074969
1679;0.17079626
1679.9999;0.17083867
1681;0.1708748
1682;0.17090321
1683;0.17092897
1684;0.17095853
1684.9999;0.17098255
1686;0.17100193
1687;0.17102481
1688;0.17104143
1689;0.17105271
1690.0001;0.17106229
1691;0.17106314
1692;0.17106043
1693;0.17105836
1694;0.17105439
1695.0001;0.17104533
1696;0.17102988
1697;0.17101164
1698;0.17098808
1699;0.17096029
1700;0.1709296
1701;0.17088893
1702;0.17084692
1702.9999;0.17081085
1704;0.17076935
1705;0.17072074
1706;0.17067133
1707;0.17061678
1707.9999;0.17055432
1709;0.17049108
1710;0.17042984
1711;0.17036155
1712;0.1702856
1713.0001;0.17020686
1714;0.17012127
1715;0.17003134
1716;0.16994351
1717;0.16985002
1718.0001;0.16974674
1719;0.16963744
1720;0.16952109
1721;0.16940057
1722;0.16927908
1723;0.1691491
1724;0.16900767
1725;0.16885929
1726;0.16870826
1727;0.1685553
1728;0.16839498
1729;0.16823031
1730;0.16805676
1730.9999;0.16787472
1732;0.16768879
1733;0.1674972
1734;0.16729796
1735;0.16709392
1735.9999;0.16688797
1737;0.16667558
1738;0.16645224
1739;0.16622575
1740;0.16599555
1741.0001;0.16576026
1742;0.16552073
1743;0.1652783
1744;0.16503161
1745;0.1647816
1746.0001;0.16453312
1747;0.16428056
1748;0.16401534
1749;0.16375168
1750;0.16349538
1751;0.16323078
1752;0.16295986
1753;0.16269124
1753.9999;0.16241306
1755;0.16213807
1756;0.16187574
1757;0.16160323
1758;0.16133176
